0,0,1,2,3,4
S$999.00,['\nScreen Size:\n15.6 Inch\n'],['\nProcessor Model:\nIntel Core i5-1035G4\n'],['\nMain Memory:\n8GB DDR4\n'],['\nInternal Storage:\n512GB PCIE SSD\n'],['\nOperating System:\nWindow 10 Home\n']
"S$1,199.00",['\nScreen Size:\n13.3 Inch\n'],['\nProcessor Model:\n10th Gen Intel Core™ i5-1035G1\n'],['\nMain Memory:\n8GB\n'],['\nInternal Storage:\n512GB PCIe SSD\n'],['\nOperating System:\nWindows® 10 Home\n']
"S$1,299.00",['\nScreen Size:\n15.6 Inch FHD\n'],['\nProcessor Model:\ni7-1065G7\n'],['\nMain Memory:\n8GB\n'],['\nInternal Storage:\n256GB SSD\n'],['\nOperating System:\nWindows 10 Home (64bit)\n']
"S$1,349.00",['\nScreen Size:\n14 Inch\n'],['\nProcessor Model:\nIntel Core i5-1035G1\n'],['\nMain Memory:\n16GB DDR4\n'],['\nInternal Storage:\n512GB PCIE SSD\n'],['\nOperating System:\nWindow 10 Home\n']
"S$1,399.00",['\nScreen Size:\n13.3 Inch\n'],['\nProcessor Model:\n10th Gen Intel Core™ i7-1065G7\n'],['\nMain Memory:\n8GB\n'],['\nInternal Storage:\n512GB PCIe SSD\n'],['\nOperating System:\nWindows® 10 Home\n']
"S$1,599.00",['\nScreen Size:\n14 Inch\n'],['\nProcessor Model:\nIntel Core i7-1065G7\n'],['\nMain Memory:\n16GB DDR4\n'],['\nInternal Storage:\n512GB PCIE SSD\n'],['\nOperating System:\nWindow 10 Home\n']
"S$1,798.00",['\nScreen Size:\n14 Inch\n'],['\nProcessor Model:\nIntel Core I7-1065G7\n'],['\nMain Memory:\n16GB\n'],['\nInternal Storage:\n1TB SSD\n'],['\nOperating System:\nWindows 10\n']
"S$1,899.00",['\nScreen Size:\n15.6 Inch\n'],['\nProcessor Model:\nIntel Core i7-10750H\n'],['\nMain Memory:\n16GB DDR4\n'],['\nInternal Storage:\n512GB PCIE SSD\n'],['\nOperating System:\nWindow 10 Home\n']
"S$2,939.00",['\nScreen Size:\n13.3\n'],['\nProcessor Model:\ni7-10510U\n'],['\nMain Memory:\n8GB\n'],['\nInternal Storage:\n512GB SSD\n'],['\nOperating System:\nWindows 10 Pro\n']
"S$2,999.00",['\nScreen Size:\n13.3\n'],['\nProcessor Model:\ni7-10510U\n'],['\nMain Memory:\n8GB\n'],['\nInternal Storage:\n512GB SSD\n'],['\nOperating System:\nWindows 10 Pro\n']
"S$1,098.00",['\nScreen Size:\n14 Inch\n'],['\nProcessor Model:\nIntel Core I5-10210U\n'],['\nMain Memory:\n8GB\n'],['\nInternal Storage:\n1TB SSD\n'],['\nOperating System:\nWindow 10 Home\n']
